NAME,year,state,place,age group,frequency
"Blacksburg town, Virginia",2009,Virginia,7784,All|All|All,32
"Blacksburg town, Virginia",2009,Virginia,7784,Male|All|All,22249
"Blacksburg town, Virginia",2009,Virginia,7784,Male|public college/graduate school|All,16389
"Blacksburg town, Virginia",2009,Virginia,7784,Male|public college/graduate school|15 - 17,102
"Blacksburg town, Virginia",2009,Virginia,7784,Male|public college/graduate school|18 - 24,15038
"Blacksburg town, Virginia",2009,Virginia,7784,Male|public college/graduate school|25 - 34,918
"Blacksburg town, Virginia",2009,Virginia,7784,Male|public college/graduate school|>= 35,331
"Blacksburg town, Virginia",2009,Virginia,7784,Male|private college/graduate school|All,215
"Blacksburg town, Virginia",2009,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2009,Virginia,7784,Male|private college/graduate school|18 - 24,152
"Blacksburg town, Virginia",2009,Virginia,7784,Male|private college/graduate school|25 - 34,24
"Blacksburg town, Virginia",2009,Virginia,7784,Male|private college/graduate school|>= 35,39
"Blacksburg town, Virginia",2009,Virginia,7784,Male|None|All,5645
"Blacksburg town, Virginia",2009,Virginia,7784,Male|None|15 - 17,236
"Blacksburg town, Virginia",2009,Virginia,7784,Male|None|18 - 24,507
"Blacksburg town, Virginia",2009,Virginia,7784,Male|None|25 - 34,1233
"Blacksburg town, Virginia",2009,Virginia,7784,Male|None|>= 35,3669
"Blacksburg town, Virginia",2009,Virginia,7784,Female|All|All,16621
"Blacksburg town, Virginia",2009,Virginia,7784,Female|public college/graduate school|All,10762
"Blacksburg town, Virginia",2009,Virginia,7784,Female|public college/graduate school|15 - 17,82
"Blacksburg town, Virginia",2009,Virginia,7784,Female|public college/graduate school|18 - 24,10015
"Blacksburg town, Virginia",2009,Virginia,7784,Female|public college/graduate school|25 - 34,488
"Blacksburg town, Virginia",2009,Virginia,7784,Female|public college/graduate school|>= 35,177
"Blacksburg town, Virginia",2009,Virginia,7784,Female|private college/graduate school|All,226
"Blacksburg town, Virginia",2009,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2009,Virginia,7784,Female|private college/graduate school|18 - 24,175
"Blacksburg town, Virginia",2009,Virginia,7784,Female|private college/graduate school|25 - 34,14
"Blacksburg town, Virginia",2009,Virginia,7784,Female|private college/graduate school|>= 35,37
"Blacksburg town, Virginia",2009,Virginia,7784,Female|None|All,5633
"Blacksburg town, Virginia",2009,Virginia,7784,Female|None|15 - 17,268
"Blacksburg town, Virginia",2009,Virginia,7784,Female|None|18 - 24,613
"Blacksburg town, Virginia",2009,Virginia,7784,Female|None|25 - 34,856
"Blacksburg town, Virginia",2009,Virginia,7784,Female|None|>= 35,3896
"Blacksburg town, Virginia",2010,Virginia,7784,All|All|All,39177
"Blacksburg town, Virginia",2010,Virginia,7784,Male|All|All,22159
"Blacksburg town, Virginia",2010,Virginia,7784,Male|public college/graduate school|All,15824
"Blacksburg town, Virginia",2010,Virginia,7784,Male|public college/graduate school|15 - 17,86
"Blacksburg town, Virginia",2010,Virginia,7784,Male|public college/graduate school|18 - 24,14001
"Blacksburg town, Virginia",2010,Virginia,7784,Male|public college/graduate school|25 - 34,1355
"Blacksburg town, Virginia",2010,Virginia,7784,Male|public college/graduate school|>= 35,382
"Blacksburg town, Virginia",2010,Virginia,7784,Male|private college/graduate school|All,223
"Blacksburg town, Virginia",2010,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2010,Virginia,7784,Male|private college/graduate school|18 - 24,141
"Blacksburg town, Virginia",2010,Virginia,7784,Male|private college/graduate school|25 - 34,41
"Blacksburg town, Virginia",2010,Virginia,7784,Male|private college/graduate school|>= 35,41
"Blacksburg town, Virginia",2010,Virginia,7784,Male|None|All,6112
"Blacksburg town, Virginia",2010,Virginia,7784,Male|None|15 - 17,301
"Blacksburg town, Virginia",2010,Virginia,7784,Male|None|18 - 24,496
"Blacksburg town, Virginia",2010,Virginia,7784,Male|None|25 - 34,1486
"Blacksburg town, Virginia",2010,Virginia,7784,Male|None|>= 35,3829
"Blacksburg town, Virginia",2010,Virginia,7784,Female|All|All,17018
"Blacksburg town, Virginia",2010,Virginia,7784,Female|public college/graduate school|All,10858
"Blacksburg town, Virginia",2010,Virginia,7784,Female|public college/graduate school|15 - 17,81
"Blacksburg town, Virginia",2010,Virginia,7784,Female|public college/graduate school|18 - 24,9766
"Blacksburg town, Virginia",2010,Virginia,7784,Female|public college/graduate school|25 - 34,846
"Blacksburg town, Virginia",2010,Virginia,7784,Female|public college/graduate school|>= 35,165
"Blacksburg town, Virginia",2010,Virginia,7784,Female|private college/graduate school|All,121
"Blacksburg town, Virginia",2010,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2010,Virginia,7784,Female|private college/graduate school|18 - 24,67
"Blacksburg town, Virginia",2010,Virginia,7784,Female|private college/graduate school|25 - 34,11
"Blacksburg town, Virginia",2010,Virginia,7784,Female|private college/graduate school|>= 35,43
"Blacksburg town, Virginia",2010,Virginia,7784,Female|None|All,6039
"Blacksburg town, Virginia",2010,Virginia,7784,Female|None|15 - 17,261
"Blacksburg town, Virginia",2010,Virginia,7784,Female|None|18 - 24,609
"Blacksburg town, Virginia",2010,Virginia,7784,Female|None|25 - 34,1101
"Blacksburg town, Virginia",2010,Virginia,7784,Female|None|>= 35,4068
